L100KM,CYLINDERS,DISPLACEMENT,HORSEPOWER,WEIGHT,ACCELERATION,MODEL_YEAR,ORIGIN,CAR_NAME
15.69,8,307,130,3504,12,70,1,chevrolet chevelle malibu
18.83,8,350,165,3693,11.5,70,1,buick skylark 320
15.69,8,318,150,3436,11,70,1,plymouth satellite
17.66,8,304,150,3433,12,70,1,amc rebel sst
16.62,8,302,140,3449,10.5,70,1,ford torino
18.83,8,429,198,4341,10,70,1,ford galaxie 500
20.18,8,454,220,4354,9,70,1,chevrolet impala
20.18,8,440,215,4312,8.5,70,1,plymouth fury iii
20.18,8,455,225,4425,10,70,1,pontiac catalina
18.83,8,390,190,3850,8.5,70,1,amc ambassador dpl
18.83,8,383,170,3563,10,70,1,dodge challenger se
20.18,8,340,160,3609,8,70,1,plymouth 'cuda 340
18.83,8,400,150,3761,9.5,70,1,chevrolet monte carlo
20.18,8,455,225,3086,10,70,1,buick estate wagon (sw)
11.77,4,113,95,2372,15,70,3,toyota corona mark ii
12.84,6,198,95,2833,15.5,70,1,plymouth duster
15.69,6,199,97,2774,15.5,70,1,amc hornet
13.45,6,200,85,2587,16,70,1,ford maverick
10.46,4,97,88,2130,14.5,70,3,datsun pl510
10.87,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan
11.30,4,110,87,2672,17.5,70,2,peugeot 504
11.77,4,107,90,2430,14.5,70,2,audi 100 ls
11.30,4,104,95,2375,17.5,70,2,saab 99e
10.87,4,121,113,2234,12.5,70,2,bmw 2002
13.45,6,199,90,2648,15,70,1,amc gremlin
28.25,8,360,215,4615,14,70,1,ford f250
28.25,8,307,200,4376,15,70,1,chevy c20
25.68,8,318,210,4382,13.5,70,1,dodge d200
31.39,8,304,193,4732,18.5,70,1,hi 1200d
10.46,4,97,88,2130,14.5,71,3,datsun pl510
10.09,4,140,90,2264,15.5,71,1,chevrolet vega 2300
11.30,4,113,95,2228,14,71,3,toyota corona
11.30,4,98,?,2046,19,71,1,ford pinto
14.87,6,232,100,2634,13,71,1,amc gremlin
17.66,6,225,105,3439,15.5,71,1,plymouth satellite custom
16.62,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu
14.87,6,250,88,3302,15.5,71,1,ford torino 500
15.69,6,232,100,3288,15.5,71,1,amc matador
20.18,8,350,165,4209,12,71,1,chevrolet impala
20.18,8,400,175,4464,11.5,71,1,pontiac catalina brougham
20.18,8,351,153,4154,13.5,71,1,ford galaxie 500
20.18,8,318,150,4096,13,71,1,plymouth fury iii
23.54,8,383,180,4955,11.5,71,1,dodge monaco (sw)
21.73,8,400,170,4746,12,71,1,ford country squire (sw)
21.73,8,400,175,5140,12,71,1,pontiac safari (sw)
15.69,6,258,110,2962,13.5,71,1,amc hornet sportabout (sw)
12.84,4,140,72,2408,19,71,1,chevrolet vega (sw)
14.87,6,250,100,3282,15,71,1,pontiac firebird
15.69,6,250,88,3139,14.5,71,1,ford mustang
12.28,4,122,86,2220,14,71,1,mercury capri 2000
10.09,4,116,90,2123,14,71,2,opel 1900
9.42,4,79,70,2074,19.5,71,2,peugeot 304
9.42,4,88,76,2065,14.5,71,2,fiat 124b
9.11,4,71,65,1773,19,71,3,toyota corolla 1200
8.07,4,72,69,1613,18,71,3,datsun 1200
10.46,4,97,60,1834,19,71,2,volkswagen model 111
10.87,4,91,70,1955,20.5,71,1,plymouth cricket
11.77,4,113,95,2278,15.5,72,3,toyota corona hardtop
11.30,4,97.5,80,2126,17,72,1,dodge colt hardtop
12.28,4,97,54,2254,23.5,72,2,volkswagen type 3
14.13,4,140,90,2408,19.5,72,1,chevrolet vega
13.45,4,122,86,2226,16.5,72,1,ford pinto runabout
21.73,8,350,165,4274,12,72,1,chevrolet impala
20.18,8,400,175,4385,12,72,1,pontiac catalina
18.83,8,318,150,4135,13.5,72,1,plymouth fury iii
20.18,8,351,153,4129,13,72,1,ford galaxie 500
16.62,8,304,150,3672,11.5,72,1,amc ambassador sst
25.68,8,429,208,4633,11,72,1,mercury marquis
21.73,8,350,155,4502,13.5,72,1,buick lesabre custom
23.54,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale
21.73,8,400,190,4422,12.5,72,1,chrysler newport royal
14.87,3,70,97,2330,13.5,72,3,mazda rx2 coupe
18.83,8,304,150,3892,12.5,72,1,amc matador (sw)
21.73,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw)
21.73,8,302,140,4294,16,72,1,ford gran torino (sw)
20.18,8,318,150,4077,14,72,1,plymouth satellite custom (sw)
15.69,4,121,112,2933,14.5,72,2,volvo 145e (sw)
12.84,4,121,76,2511,18,72,2,volkswagen 411 (sw)
13.45,4,120,87,2979,19.5,72,2,peugeot 504 (sw)
10.87,4,96,69,2189,18,72,2,renault 12 (sw)
12.84,4,122,86,2395,16,72,1,ford pinto (sw)
10.09,4,97,92,2288,17,72,3,datsun 510 (sw)
12.28,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw)
10.09,4,98,80,2164,15,72,1,dodge colt (sw)
10.46,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw)
21.73,8,350,175,4100,13,73,1,buick century 350
20.18,8,304,150,3672,11.5,73,1,amc matador
